date,cf-release-commit-sha,diego-release-version,garden-runc-release-version,cflinuxfs2-release-version,cf-networking-release-version,bosh-lite-commit-sha,aws-stemcell,bosh-lite-stemcell,vsphere-stemcell,aws-director-version,bosh-lite-director-version,vsphere-director-version,aws-acceptance-tests-build-url,bosh-lite-acceptance-tests-build-url,vsphere-acceptance-tests-build-url
2017-05-01T20:52:21Z,80917370de9a4752021cafe188d858b3bb4d9a96,1.15.0,1.5.0,1.116.0,0.21.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/88,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/81,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/69
2017-05-01T23:27:46Z,80917370de9a4752021cafe188d858b3bb4d9a96,1.15.1,1.5.0,1.116.0,0.21.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/89,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/82,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/70
2017-05-02T02:04:07Z,aaf0cc2465ab2960cbfdd36082ec4f1b0aa8c6f7,1.15.1,1.5.0,1.116.0,0.21.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/90,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/83,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/71
2017-05-02T16:38:02Z,9cb61d1da47222d9d445cecab44eb941dc0ec464,1.15.1,1.5.0,1.116.0,0.21.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/92,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/84,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/72
2017-05-02T21:33:23Z,21f2ca00bc974f0fcc4635246506c398f614b2de,1.15.1,1.5.0,1.116.0,0.22.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/95,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/86,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/75
2017-05-03T01:40:31Z,855633f899ea19e6b01dd937891bad8d61772f98,1.15.1,1.5.0,1.117.0,0.22.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/97,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/88,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/76
2017-05-03T22:22:33Z,8a9a757ceac82d1d9dfd51d0843c82ccd6266748,1.15.1,1.5.0,1.117.0,0.22.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/101,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/92,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/79
2017-05-04T17:37:41Z,887d3264258eaa42a80d513af0faf5e6bf37d27f,1.15.1,1.5.0,1.117.0,0.22.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/103,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/93,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/80
2017-05-04T22:10:01Z,1e504df09eb07fbe38370fca510ec017374f4462,1.15.1,1.5.0,1.117.0,0.22.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/107,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/94,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/81
2017-05-05T02:39:19Z,538bbda13722aaae7399a3eefdf24157e30ff395,1.15.1,1.5.0,1.117.0,0.22.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/108,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/95,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/82
2017-05-05T19:21:20Z,5994773e5744a2ede572c7a3450777c880f93771,1.15.1,1.5.0,1.118.0,0.22.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/110,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/97,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/83
2017-05-05T21:59:13Z,9b41ed77ca8a0cf1c8160920e8e1b05e2ea27627,1.15.1,1.5.0,1.118.0,0.22.0,11025e9166499ee35ee04d243d1407024b97a2c6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3363.20,bosh-warden-boshlite-ubuntu-trusty-go_agent/3363.20,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3363.20,261.4.0,260.0.0,260.5.0,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/111,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/98,https://release-integration.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/84
