DATE,RELEASE_STAGE,DIRECTOR_VERSION,CF_RELEASE_COMMIT_SHA,CF_DEPLOYMENT_STEMCELL,DIEGO_RELEASE_VERSION,DIEGO_RELEASE_COMMIT_SHA,DIEGO_DEPLOYMENT_STEMCELL,GARDEN_LINUX_RELEASE_VERSION
Wed Aug 19 20:54:08 UTC 2015,release_candidate,1.2992.0,541d8beb,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3048,0.1424.1,38279580,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3048,0.295.0
Thu Aug 20 16:27:28 UTC 2015,release_candidate,1.2992.0,541d8beb,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3048,0.1425.0,191abf70,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3048,0.296.0
Fri Aug 21 22:59:04 UTC 2015,release_candidate,1.2992.0,3f8df2eb,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.1425.0,191abf70,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.296.0
Sat Aug 22 00:14:30 UTC 2015,release_candidate,1.2992.0,3f8df2eb,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.1426.0,cfe07c88,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.297.0
Mon Aug 24 06:55:59 UTC 2015,release_candidate,1.2992.0,3f8df2eb,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.1427.0,0974f3fc,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.297.0
Mon Aug 24 20:29:10 UTC 2015,release_candidate,1.2992.0,8c2aebc8,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.1427.0,0974f3fc,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.297.0
Mon Aug 24 22:16:49 UTC 2015,release_candidate,1.2992.0,f006c7ac,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.1427.0,0974f3fc,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.297.0
Tue Aug 25 00:28:08 UTC 2015,release_candidate,1.2992.0,f48a9eb4,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.1427.0,0974f3fc,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.297.0
Tue Aug 25 02:18:13 UTC 2015,release_candidate,1.2992.0,29a31921,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.1427.0,0974f3fc,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3056,0.297.0
Tue Sep 1 06:25:25 UTC 2015,release_candidate,1.2992.0,116f92e3,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3062,0.1427.1,a11128cb,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3062,0.303.0
Tue Sep 1 07:05:32 UTC 2015,release_candidate,1.2992.0,116f92e3,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3062,0.1427.1,a11128cb,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3062,0.303.0
