date,cf-release-commit-sha,diego-release-version,garden-linux-release-version,etcd-release-version,cflinuxfs2-rootfs-release-version,bosh-lite-commit-sha,aws-stemcell,bosh-lite-stemcell,vsphere-stemcell,aws-director-version,bosh-lite-director-version,vsphere-director-version,aws-acceptance-tests-build-url,bosh-lite-acceptance-tests-build-url,vsphere-acceptance-tests-build-url
2016-08-11T21:13:07Z,077981ef7699a2e7dd50fd8ed7b1b28bd0e54027,0.1482.0,0.341.0,64,1.23.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/35,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/156,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/28
2016-08-11T23:17:28Z,e895bb11b0f4ce20a1ddffd697bf3d1580767da0,0.1482.0,0.341.0,64,1.23.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/36,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/157,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/29
2016-08-12T05:49:34Z,88967f66f48600ff2c2f38bc8c764f0e241863cb,0.1482.0,0.341.0,64,1.23.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/39,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/160,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/31
2016-08-12T18:01:23Z,88967f66f48600ff2c2f38bc8c764f0e241863cb,0.1482.0,0.342.0,64,1.23.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/40,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/161,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/32
2016-08-16T18:40:00Z,c432b733342a487b3be6cbc54a2e4e9aebe76b84,0.1482.0,0.342.0,64,1.24.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/47,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/167,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/33
2016-08-17T02:59:22Z,3a1f1d8bb3dec3ebe7558087291b88470867d6bb,0.1482.0,0.342.0,64,1.24.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/49,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/169,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/34
2016-08-18T19:50:26Z,ea6c47cdb15b8cacfd2b95d5b81a141fc35b4742,0.1482.0,0.342.0,65,1.25.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/56,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/176,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/38
2016-08-19T01:05:43Z,160458c845682fc3b22bceec7a83971ec136c687,0.1482.0,0.342.0,65,1.25.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/59,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/177,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/39
2016-08-19T18:58:32Z,484f8c09decb2b0a5bec4275b0140faf7e1738a9,0.1482.0,0.342.0,65,1.26.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/63,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/182,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/42
2016-08-19T21:34:36Z,b176139371f7161e8ba16d6981d0677d7b44d6fd,0.1482.0,0.342.0,65,1.26.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/64,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/183,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/43
