date,cf-release-commit-sha,diego-release-version,garden-linux-release-version,garden-runc-release-version,etcd-release-version,cflinuxfs2-rootfs-release-version,bosh-lite-commit-sha,aws-stemcell,bosh-lite-stemcell,vsphere-stemcell,aws-director-version,bosh-lite-director-version,vsphere-director-version,aws-acceptance-tests-build-url,bosh-lite-acceptance-tests-build-url,vsphere-acceptance-tests-build-url
2016-10-04T20:10:55Z,245778d102d98d5661faa882485531eaf85a1628,0.1486.0,0.342.0,0.9.0,72,1.34.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/30,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/35,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/29
2016-10-05T01:12:00Z,004b8738146689a4c12a85df9cf96a448327caf9,0.1486.0,0.342.0,0.9.0,72,1.34.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/31,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/36,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/30
2016-10-05T11:19:00Z,004b8738146689a4c12a85df9cf96a448327caf9,0.1487.0,0.342.0,0.9.0,72,1.34.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/32,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/37,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/31
2016-10-05T19:55:44Z,a3a4ebeae148540c218a0cc493f6bb6d44ac0d87,0.1487.0,0.342.0,0.9.0,72,1.34.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/33,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/38,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/32
2016-10-05T21:50:15Z,4c7ed3dd2555dfb94ae21e9eb3d991e54ed82695,0.1487.0,0.342.0,0.9.0,72,1.34.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/36,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/39,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/33
2016-10-06T00:14:54Z,3f1c1125245359ff512d5c45c38e3771bb6c11f9,0.1487.0,0.342.0,0.9.0,72,1.34.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/37,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/40,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/34
2016-10-06T18:36:52Z,6879a23cd9389b45e599c477264dd4376aa4da6d,0.1487.0,0.342.0,0.9.0,72,1.35.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/40,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/42,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/36
2016-10-07T17:08:49Z,bd14bed3efe9faac88332c7177b7b09102738b66,0.1487.0,0.342.0,0.9.0,72,1.35.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/41,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/43,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/37
2016-10-07T20:49:06Z,0c010f8b4150eb51ce0cb5725361a000261f5594,0.1487.0,0.342.0,0.9.0,72,1.35.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/43,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/45,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/38
2016-10-08T04:16:48Z,5f4133e01e3421724af0bbbab35cd25363247a39,0.1487.0,0.342.0,0.9.0,72,1.35.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.5,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.5,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/47,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/48,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/41
