date,cf-release-commit-sha,diego-release-version,garden-runc-release-version,cflinuxfs2-rootfs-release-version,bosh-lite-commit-sha,aws-stemcell,bosh-lite-stemcell,vsphere-stemcell,aws-director-version,bosh-lite-director-version,vsphere-director-version,aws-acceptance-tests-build-url,bosh-lite-acceptance-tests-build-url,vsphere-acceptance-tests-build-url
2016-12-10T04:28:38Z,c93c631ce9d95c4d67c60aef7659582d2cb65b35,1.2.0,1.0.4,1.41.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.7,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.7,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/197,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/198,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/169
2016-12-10T06:14:30Z,d86b0fd3cb4723ef0edea8a7eb3c08cb1cca2980,1.2.0,1.0.4,1.41.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.7,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.7,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/199,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/199,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/171
2016-12-10T09:04:14Z,c90227491db604dc085f10ed354d9a6faeaebe6b,1.2.0,1.0.4,1.41.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.7,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.7,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/200,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/200,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/172
2016-12-13T00:39:53Z,c90227491db604dc085f10ed354d9a6faeaebe6b,1.2.0,1.0.4,1.42.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.7,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.7,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/202,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/202,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/173
2016-12-13T04:06:29Z,e7d4f34494d107b8c0465681a1966c0d14161024,1.2.0,1.0.4,1.42.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.7,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.7,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/203,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/203,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/174
2016-12-14T22:33:25Z,cd40a735cb2bd208cecd7a4ab9ed889fdf08a042,1.2.0,1.0.4,1.43.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.8,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.8,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/209,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/209,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/176
2016-12-15T04:15:38Z,b74439b26b5a3850c72c9d94e74c18c9402e9226,1.2.0,1.0.4,1.43.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.8,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.8,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/212,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/212,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/177
2016-12-16T22:47:18Z,36ebc222747dbbcd884c2b82ad8985d48f7513c1,1.4.0,1.0.4,1.43.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.9,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.9,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.9,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/214,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/218,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/180
2016-12-17T03:35:19Z,bc23c7bfa0e7b4501045f38b4ebe768971a3a6c7,1.4.0,1.0.4,1.43.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.9,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.9,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.9,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/216,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/219,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/181
2016-12-20T18:41:42Z,14407e86fe398f125964edee91355a9a400e15fe,1.4.0,1.0.4,1.43.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3312.9,bosh-warden-boshlite-ubuntu-trusty-go_agent/3312.9,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3312.9,259.0.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/218,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/223,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/182
